"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","2","0","Service Provider authentication","0"
"0","","0","RTP Submission","2","0","Input validation","0"
"0","","0","Web page","1","0","The RTP web page is reachable","0"
"0","","0","A Creditor Service Provider sends an RTP through API","4","0","","0"
"0","","0","RTP Send","3","0","Service provider sends an RTP","0"
"0","","1","RTP Submission","0","0","RTP submission though web page","0"
"0","","0","A Debtor Service Providers activates a debtor","3","0","","0"
"0","","0","Activation","3","0","Debtor activation","0"
"0","","0","A Creditor Service Provider sends an RTP through web page","1","0","","0"
"0","","0","Authentication","1","0","Service Provider authenticated","0"
